instancia,n,grafo,threads, tiempo
0,100,arbol,1,1.119
1,100,arbol,2,1.89048
2,100,arbol,4,3.8996
3,100,arbol,8,1.42592
4,100,arbol,16,278.682
5,100,arbol,32,346.66
6,100,arbol,1,0.177251
7,100,arbol,2,1.67441
8,100,arbol,4,1.07532
9,100,arbol,8,53.7768
10,100,arbol,16,55.3266
11,100,arbol,32,1.26
12,100,arbol,1,0.143453
13,100,arbol,2,0.493898
14,100,arbol,4,1.87848
15,100,arbol,8,0.66699
16,100,arbol,16,12.8505
17,100,arbol,32,375.61
18,100,arbol,1,0.212898
19,100,arbol,2,1.91105
20,100,arbol,4,2.81912
21,100,arbol,8,45.1537
22,100,arbol,16,11.0064
23,100,arbol,32,597.579
24,100,arbol,1,0.175013
25,100,arbol,2,2.37581
26,100,arbol,4,2.36339
27,100,arbol,8,13.7557
28,100,arbol,16,39.1115
29,100,arbol,32,529.538
30,100,arbol,1,1.08353
31,100,arbol,2,0.706733
32,100,arbol,4,14.2824
33,100,arbol,8,2.23656
34,100,arbol,16,460.467
35,100,arbol,32,252.627
36,100,arbol,1,0.491949
37,100,arbol,2,1.61539
38,100,arbol,4,1.11916
39,100,arbol,8,13.4128
40,100,arbol,16,24.0181
41,100,arbol,32,1063.46
42,100,arbol,1,1.02911
43,100,arbol,2,1.53044
44,100,arbol,4,5.29977
45,100,arbol,8,45.8954
46,100,arbol,16,36.0701
47,100,arbol,32,639.556
48,100,arbol,1,0.172503
49,100,arbol,2,1.83365
50,100,arbol,4,1.51455
51,100,arbol,8,44.5195
52,100,arbol,16,99.8467
53,100,arbol,32,1668.5
54,100,arbol,1,0.155776
55,100,arbol,2,0.831964
56,100,arbol,4,2.34323
57,100,arbol,8,1.00698
58,100,arbol,16,40.8
59,100,arbol,32,529.003
60,100,ralo,1,1.06512
61,100,ralo,2,1.42577
62,100,ralo,4,2.34584
63,100,ralo,8,81.4627
64,100,ralo,16,141.187
65,100,ralo,32,431.672
66,100,ralo,1,0.427099
67,100,ralo,2,1.77791
68,100,ralo,4,2.28311
69,100,ralo,8,48.0931
70,100,ralo,16,343.95
71,100,ralo,32,686.584
72,100,ralo,1,1.06436
73,100,ralo,2,2.17145
74,100,ralo,4,2.23731
75,100,ralo,8,32.708
76,100,ralo,16,232.192
77,100,ralo,32,554.178
78,100,ralo,1,0.4079
79,100,ralo,2,1.91099
80,100,ralo,4,2.33115
81,100,ralo,8,95.2965
82,100,ralo,16,246.544
83,100,ralo,32,315.667
84,100,ralo,1,0.317489
85,100,ralo,2,2.09352
86,100,ralo,4,3.486
87,100,ralo,8,132.068
88,100,ralo,16,296.706
89,100,ralo,32,580.641
90,100,ralo,1,1.07337
91,100,ralo,2,2.25304
92,100,ralo,4,2.33615
93,100,ralo,8,12.4713
94,100,ralo,16,346.026
95,100,ralo,32,204.896
96,100,ralo,1,0.237805
97,100,ralo,2,1.96419
98,100,ralo,4,2.24667
99,100,ralo,8,93.2574
100,100,ralo,16,197.083
101,100,ralo,32,630.231
102,100,ralo,1,1.05778
103,100,ralo,2,1.70713
104,100,ralo,4,2.14436
105,100,ralo,8,82.3347
106,100,ralo,16,140.877
107,100,ralo,32,645.134
108,100,ralo,1,1.09831
109,100,ralo,2,1.91735
110,100,ralo,4,7.08613
111,100,ralo,8,39.1997
112,100,ralo,16,351.521
113,100,ralo,32,142.821
114,100,ralo,1,1.06057
115,100,ralo,2,1.4381
116,100,ralo,4,2.23361
117,100,ralo,8,104.834
118,100,ralo,16,160.458
119,100,ralo,32,587.352
120,100,completo,1,2.48706
121,100,completo,2,2.80667
122,100,completo,4,4.56627
123,100,completo,8,86.8791
124,100,completo,16,125.696
125,100,completo,32,45.0725
126,100,completo,1,3.53091
127,100,completo,2,4.96566
128,100,completo,4,10.8922
129,100,completo,8,81.2513
130,100,completo,16,37.6575
131,100,completo,32,45.3192
132,100,completo,1,1.77762
133,100,completo,2,3.96666
134,100,completo,4,3.6118
135,100,completo,8,86.6003
136,100,completo,16,315.345
137,100,completo,32,257.944
138,100,completo,1,1.65051
139,100,completo,2,6.51525
140,100,completo,4,8.1159
141,100,completo,8,165.304
142,100,completo,16,189.174
143,100,completo,32,766.718
144,100,completo,1,1.43134
145,100,completo,2,2.81654
146,100,completo,4,4.34726
147,100,completo,8,83.5603
148,100,completo,16,172.179
149,100,completo,32,235.965
150,100,completo,1,2.13447
151,100,completo,2,4.42567
152,100,completo,4,5.60965
153,100,completo,8,70.9417
154,100,completo,16,98.7002
155,100,completo,32,264.353
156,100,completo,1,1.83454
157,100,completo,2,3.31326
158,100,completo,4,4.89779
159,100,completo,8,55.5653
160,100,completo,16,217.1
161,100,completo,32,468.645
162,100,completo,1,1.46683
163,100,completo,2,4.16234
164,100,completo,4,4.16216
165,100,completo,8,37.6149
166,100,completo,16,374.927
167,100,completo,32,1456.92
168,100,completo,1,1.28563
169,100,completo,2,3.35271
170,100,completo,4,4.58658
171,100,completo,8,80.2865
172,100,completo,16,137.133
173,100,completo,32,247.768
174,100,completo,1,1.86413
175,100,completo,2,4.90128
176,100,completo,4,5.35267
177,100,completo,8,51.595
178,100,completo,16,54.7738
179,100,completo,32,554.774
180,200,arbol,1,0.268055
181,200,arbol,2,1.96524
182,200,arbol,4,3.13753
183,200,arbol,8,9.33418
184,200,arbol,16,33.4199
185,200,arbol,32,1.17933
186,200,arbol,1,0.299
