instancia,n,grafo,threads,fusiones,tiempo
0,0,arbol,1,0,0.190187
1,0,arbol,2,1,0.134505
2,0,arbol,3,7,0.269941
3,0,arbol,4,3,0.249763
4,0,arbol,5,8,0.306101
5,0,arbol,6,11,0.440051
6,0,arbol,7,10,0.386426
7,0,arbol,8,15,11.0311
8,0,arbol,9,7,11.1011
9,0,arbol,10,13,0.622161
10,0,arbol,11,5,0.298342
11,0,arbol,12,13,1.04971
12,0,arbol,13,3,0.283577
13,0,arbol,14,0,0.303722
14,0,arbol,15,2,0.305329
15,0,arbol,16,11,0.611917
16,0,arbol,17,10,1.40373
17,0,arbol,18,6,0.510465
18,0,arbol,19,11,0.832733
19,0,arbol,20,0,0.581891
20,0,arbol,21,0,0.429424
21,0,arbol,22,8,0.754105
22,0,arbol,23,9,0.761112
23,0,arbol,24,12,0.81966
24,0,arbol,25,10,0.709881
25,0,arbol,26,8,0.744431
26,0,arbol,27,6,0.745471
27,0,arbol,28,10,0.883814
28,0,arbol,29,7,0.866313
29,0,arbol,30,12,10.9911
30,0,arbol,31,13,1.19644
31,0,arbol,32,6,0.954103
32,0,arbol,33,0,0.93856
33,0,arbol,34,2,0.825068
34,0,arbol,35,6,1.17358
35,0,arbol,36,4,0.738696
36,0,arbol,37,15,11.1694
37,0,arbol,38,9,1.05118
38,0,arbol,39,6,0.993168
39,0,arbol,40,3,0.920429
40,0,arbol,1,0,0.054649
41,0,arbol,2,3,0.121223
42,0,arbol,3,5,0.221162
43,0,arbol,4,4,0.197233
44,0,arbol,5,2,0.255763
45,0,arbol,6,0,0.161459
46,0,arbol,7,3,0.323899
47,0,arbol,8,4,0.275956
48,0,arbol,9,6,0.589304
49,0,arbol,10,1,0.303343
50,0,arbol,11,3,0.325693
51,0,arbol,12,4,0.427692
52,0,arbol,13,3,0.371417
53,0,arbol,14,6,0.519307
54,0,arbol,15,3,0.397292
55,0,arbol,16,6,0.985236
56,0,arbol,17,3,0.390923
57,0,arbol,18,3,0.40354
58,0,arbol,19,6,0.508354
59,0,arbol,20,4,0.447498
60,0,arbol,21,5,0.562053
61,0,arbol,22,14,10.9824
62,0,arbol,23,10,10.4795
63,0,arbol,24,7,0.821349
64,0,arbol,25,3,0.736195
65,0,arbol,26,7,0.800403
66,0,arbol,27,6,0.765403
67,0,arbol,28,4,0.613502
68,0,arbol,29,11,1.006
69,0,arbol,30,3,0.673994
70,0,arbol,31,8,0.896705
71,0,arbol,32,11,1.11295
