instancia,n,grafo,threads,tiempo
0,100,arbol,1,0
1,100,arbol,2,0.400264
2,100,arbol,4,0.366809
3,100,arbol,8,0.428112
4,100,arbol,16,0.34953
5,100,arbol,32,0.271527
6,100,arbol,1,0
7,100,arbol,2,0.415841
8,100,arbol,4,0.367285
9,100,arbol,8,0.419225
10,100,arbol,16,0.116527
11,100,arbol,32,0.222899
12,100,arbol,1,0
13,100,arbol,2,0.235718
14,100,arbol,4,0.219691
15,100,arbol,8,0.333424
16,100,arbol,16,0.332976
17,100,arbol,32,0.19103
18,100,arbol,1,0
19,100,arbol,2,0.177597
20,100,arbol,4,0.385661
21,100,arbol,8,0.409705
22,100,arbol,16,0
23,100,arbol,32,0.211727
24,100,arbol,1,0
25,100,arbol,2,0.17832
26,100,arbol,4,0.399854
27,100,arbol,8,0.256795
28,100,arbol,16,0.303951
29,100,arbol,32,0.310267
30,100,ralo,1,0
31,100,ralo,2,0.357844
32,100,ralo,4,0.39212
33,100,ralo,8,0.36202
34,100,ralo,16,0.329008
35,100,ralo,32,0.260634
36,100,ralo,1,0
37,100,ralo,2,0.388057
38,100,ralo,4,0.394354
39,100,ralo,8,0.36507
40,100,ralo,16,0.243274
41,100,ralo,32,0.248299
42,100,ralo,1,0
43,100,ralo,2,0.34001
44,100,ralo,4,0.391821
45,100,ralo,8,0.330739
46,100,ralo,16,0.28501
47,100,ralo,32,0.22711
48,100,ralo,1,0
49,100,ralo,2,0.395622
50,100,ralo,4,0.393543
51,100,ralo,8,0.368114
52,100,ralo,16,0.369745
53,100,ralo,32,0.241492
54,100,ralo,1,0
55,100,ralo,2,0.335737
56,100,ralo,4,0.396057
57,100,ralo,8,0.423612
58,100,ralo,16,0.321051
59,100,ralo,32,0.261703
60,100,completo,1,0
61,100,completo,2,0.233644
62,100,completo,4,0.292744
63,100,completo,8,0.409702
64,100,completo,16,0.350952
65,100,completo,32,0.269885
66,100,completo,1,0
67,100,completo,2,0.241666
68,100,completo,4,0.319816
69,100,completo,8,0.425168
70,100,completo,16,0.346243
71,100,completo,32,0.277432
72,100,completo,1,0
73,100,completo,2,0.229043
74,100,completo,4,0.29492
75,100,completo,8,0.383294
76,100,completo,16,0.40138
77,100,completo,32,0.227946
78,100,completo,1,0
79,100,completo,2,0.236989
80,100,completo,4,0.317613
81,100,completo,8,0.394237
82,100,completo,16,0.33764
83,100,completo,32,0.245341
84,100,completo,1,0
85,100,completo,2,0.254703
86,100,completo,4,0.315401
87,100,completo,8,0.385971
88,100,completo,16,0.323572
89,100,completo,32,0.247463
90,200,arbol,1,0
91,200,arbol,2,0.279896
92,200,arbol,4,0.387551
93,200,arbol,8,0.412491
94,200,arbol,16,0.270312
95,200,arbol,32,0.290715
96,200,arbol,1,0
97,200,arbol,2,0.264773
98,200,arbol,4,0.356052
99,200,arbol,8,0.323883
100,200,arbol,16,0.318993
101,200,arbol,32,0.268739
102,200,arbol,1,0
103,200,arbol,2,0.364483
104,200,arbol,4,0.38897
105,200,arbol,8,0.26634
106,200,arbol,16,0.262468
107,200,arbol,32,0.243704
108,200,arbol,1,0
109,200,arbol,2,0.260582
110,200,arbol,4,0.389511
111,200,arbol,8,0.297587
112,200,arbol,16,0.307287
113,200,arbol,32,0.25757
114,200,arbol,1,0
115,200,arbol,2,0.423154
116,200,arbol,4,0.386202
117,200,arbol,8,0.382492
118,200,arbol,16,0.270332
119,200,arbol,32,0.29158
120,200,ralo,1,0
121,200,ralo,2,0.406632
122,200,ralo,4,0.396883
123,200,ralo,8,0.427721
124,200,ralo,16,0.367342
125,200,ralo,32,0.32419
126,200,ralo,1,0
127,200,ralo,2,0.396466
128,200,ralo,4,0.39859
129,200,ralo,8,0.382283
130,200,ralo,16,0.353896
131,200,ralo,32,0.338416
132,200,ralo,1,0
133,200,ralo,2,0.389285
134,200,ralo,4,0.406609
135,200,ralo,8,0.372611
136,200,ralo,16,0.361954
137,200,ralo,32,0.342618
138,200,ralo,1,0
139,200,ralo,2,0.400301
140,200,ralo,4,0.383968
141,200,ralo,8,0.452528
142,200,ralo,16,0.354829
143,200,ralo,32,0.29242
144,200,ralo,1,0
145,200,ralo,2,0.387718
146,200,ralo,4,0.402869
147,200,ralo,8,0.398016
148,200,ralo,16,0.374008
149,200,ralo,32,0.297299
150,200,completo,1,0
151,200,completo,2,0.25734
152,200,completo,4,0.285301
153,200,completo,8,0.384721
154,200,completo,16,0.320204
155,200,completo,32,0.247729
156,200,completo,1,0
157,200,completo,2,0.252627
158,200,completo,4,0.29238
159,200,completo,8,0.390154
160,200,completo,16,0.313419
161,200,completo,32,0.352914
162,200,completo,1,0
163,200,completo,2,0.221351
164,200,completo,4,0.306299
165,200,completo,8,0.368111
166,200,completo,16,0.351479
167,200,completo,32,0.310565
168,200,completo,1,0
169,200,completo,2,0.267573
170,200,completo,4,0.293096
171,200,completo,8,0.335567
172,200,completo,16,0.30888
173,200,completo,32,0.361813
174,200,completo,1,0
175,200,completo,2,0.248669
176,200,completo,4,0.275462
177,200,completo,8,0.383674
178,200,completo,16,0.409513
179,200,completo,32,0.343283
180,300,arbol,1,0
181,300,arbol,2,0.45194
182,300,arbol,4,0.414058
183,300,arbol,8,0.413191
184,300,arbol,16,0.416413
185,300,arbol,32,0.161063
186,300,arbol,1,0
187,300,arbol,2,0.337071
188,300,arbol,4,0.420673
189,300,arbol,8,0.417982
190,300,arbol,16,0.163939
191,300,arbol,32,0.143254
192,300,arbol,1,0
193,300,arbol,2,0.440351
194,300,arbol,4,0.418743
195,300,arbol,8,0
196,300,arbol,16,0.168164
197,300,arbol,32,0.120372
198,300,arbol,1,0
199,300,arbol,2,0.377157
200,300,arbol,4,0.417586
201,300,arbol,8,0.332538
202,300,arbol,16,0.206998
203,300,arbol,32,0.116863
204,300,arbol,1,0
205,300,arbol,2,0.365398
206,300,arbol,4,0.42055
207,300,arbol,8,0.339415
208,300,arbol,16,0.16183
209,300,arbol,32,0.0944732
210,300,ralo,1,0
211,300,ralo,2,0.394262
212,300,ralo,4,0.414833
213,300,ralo,8,0.435605
214,300,ralo,16,0.378815
215,300,ralo,32,0.344498
216,300,ralo,1,0
217,300,ralo,2,0.382991
218,300,ralo,4,0.401514
219,300,ralo,8,0.390704
220,300,ralo,16,0.403639
221,300,ralo,32,0.330514
222,300,ralo,1,0
223,300,ralo,2,0.387564
224,300,ralo,4,0.40129
225,300,ralo,8,0.376634
226,300,ralo,16,0.441058
227,300,ralo,32,0.309827
228,300,ralo,1,0
229,300,ralo,2,0.398936
230,300,ralo,4,0.41379
231,300,ralo,8,0.411036
232,300,ralo,16,0.359292
233,300,ralo,32,0.331595
234,300,ralo,1,0
235,300,ralo,2,0.4099
236,300,ralo,4,0.393717
237,300,ralo,8,0.403097
238,300,ralo,16,0.391049
239,300,ralo,32,0.375576
240,300,completo,1,0
241,300,completo,2,0.212162
242,300,completo,4,0.26825
243,300,completo,8,0.368034
244,300,completo,16,0.343679
245,300,completo,32,0.298848
246,300,completo,1,0
247,300,completo,2,0.239588
248,300,completo,4,0.250648
249,300,completo,8,0.415801
250,300,completo,16,0.389298
251,300,completo,32,0.337835
252,300,completo,1,0
253,300,completo,2,0.203221
254,300,completo,4,0.27139
255,300,completo,8,0.353864
256,300,completo,16,0.379095
257,300,completo,32,0.318708
258,300,completo,1,0
259,300,completo,2,0.257008
260,300,completo,4,0.289908
261,300,completo,8,0.393352
262,300,completo,16,0.434001
263,300,completo,32,0.363547
264,300,completo,1,0
265,300,completo,2,0.23574
266,300,completo,4,0.272846
267,300,completo,8,0.415217
268,300,completo,16,0.30689
269,300,completo,32,0.289164
270,400,arbol,1,0
271,400,arbol,2,0.436064
272,400,arbol,4,0.424143
273,400,arbol,8,0.381612
274,400,arbol,16,0.421744
275,400,arbol,32,0.290498
276,400,arbol,1,0
277,400,arbol,2,0.371592
278,400,arbol,4,0.428523
279,400,arbol,8,0.381938
280,400,arbol,16,0.346087
281,400,arbol,32,0.250095
282,400,arbol,1,0
283,400,arbol,2,0.405204
284,400,arbol,4,0.433513
285,400,arbol,8,0.373024
286,400,arbol,16,0.442293
287,400,arbol,32,0.298112
288,400,arbol,1,0
289,400,arbol,2,0.453528
290,400,arbol,4,0.414723
291,400,arbol,8,0.362386
292,400,arbol,16,0.326008
293,400,arbol,32,0.329447
294,400,arbol,1,0
295,400,arbol,2,0.374097
296,400,arbol,4,0.436565
297,400,arbol,8,0.392983
298,400,arbol,16,0.458951
299,400,arbol,32,0.22456
300,400,ralo,1,0
301,400,ralo,2,0.410661
302,400,ralo,4,0.401388
303,400,ralo,8,0.40694
304,400,ralo,16,0.419348
305,400,ralo,32,0.353475
306,400,ralo,1,0
307,400,ralo,2,0.379177
308,400,ralo,4,0.410216
309,400,ralo,8,0.408526
310,400,ralo,16,0.3842
311,400,ralo,32,0.37929
312,400,ralo,1,0
313,400,ralo,2,0.377176
314,400,ralo,4,0.413422
315,400,ralo,8,0.433797
316,400,ralo,16,0.372592
317,400,ralo,32,0.389876
318,400,ralo,1,0
319,400,ralo,2,0.394478
320,400,ralo,4,0.407035
321,400,ralo,8,0.400253
322,400,ralo,16,0.362816
323,400,ralo,32,0.33161
324,400,ralo,1,0
325,400,ralo,2,0.371871
326,400,ralo,4,0.400855
327,400,ralo,8,0.404682
328,400,ralo,16,0.393321
329,400,ralo,32,0.346672
330,400,completo,1,0
331,400,completo,2,0.214926
332,400,completo,4,0.281277
333,400,completo,8,0.373906
334,400,completo,16,0.372149
335,400,completo,32,0.362092
336,400,completo,1,0
337,400,completo,2,0.245473
338,400,completo,4,0.291977
339,400,completo,8,0.367501
340,400,completo,16,0.37685
341,400,completo,32,0.385343
342,400,completo,1,0
343,400,completo,2,0.2325
344,400,completo,4,0.303735
345,400,completo,8,0.328129
346,400,completo,16,0.367404
347,400,completo,32,0.289383
348,400,completo,1,0
349,400,completo,2,0.230172
350,400,completo,4,0.295413
351,400,completo,8,0.378563
352,400,completo,16,0.345611
353,400,completo,32,0.316094
354,400,completo,1,0
355,400,completo,2,0.20088
356,400,completo,4,0.245722
357,400,completo,8,0.427432
358,400,completo,16,0.387922
