instancia,n,grafo,threads,fusiones
0,100,arbol,1,0
1,100,arbol,2,32
2,100,arbol,4,18511
3,100,arbol,1,0
4,100,arbol,2,8
5,100,arbol,4,14540
6,100,arbol,1,0
7,100,arbol,2,30
8,100,arbol,4,10279
9,100,arbol,1,0
10,100,arbol,2,31
11,100,arbol,4,6644
12,100,arbol,1,0
13,100,arbol,2,41
14,100,arbol,4,2239
15,100,arbol,1,0
16,100,arbol,2,24
17,100,arbol,4,10224
18,100,arbol,1,0
19,100,arbol,2,26
20,100,arbol,4,1111
21,100,arbol,1,0
22,100,arbol,2,25
23,100,arbol,4,12115
24,100,arbol,1,0
25,100,arbol,2,26
26,100,arbol,4,7416
27,100,arbol,1,0
28,100,arbol,2,27
29,100,arbol,4,9727
30,100,ralo,1,0
31,100,ralo,2,19
32,100,ralo,4,11316
33,100,ralo,1,0
34,100,ralo,2,20
35,100,ralo,4,11674
36,100,ralo,1,0
37,100,ralo,2,22
38,100,ralo,4,11000
39,100,ralo,1,0
40,100,ralo,2,22
41,100,ralo,4,10954
42,100,ralo,1,0
43,100,ralo,2,20
44,100,ralo,4,11964
45,100,ralo,1,0
46,100,ralo,2,21
47,100,ralo,4,12351
48,100,ralo,1,0
49,100,ralo,2,21
50,100,ralo,4,11146
51,100,ralo,1,0
52,100,ralo,2,18
53,100,ralo,4,14751
54,100,ralo,1,0
55,100,ralo,2,22
56,100,ralo,4,12530
57,100,ralo,1,0
58,100,ralo,2,18
59,100,ralo,4,10139
60,100,completo,1,0
61,100,completo,2,29
62,100,completo,4,18089
63,100,completo,1,0
64,100,completo,2,23
65,100,completo,4,18747
66,100,completo,1,0
67,100,completo,2,26
68,100,completo,4,21446
69,100,completo,1,0
70,100,completo,2,21
71,100,completo,4,16314
72,100,completo,1,0
73,100,completo,2,25
74,100,completo,4,20847
75,100,completo,1,0
76,100,completo,2,22
77,100,completo,4,36852
78,100,completo,1,0
79,100,completo,2,28
80,100,completo,4,20153
81,100,completo,1,0
82,100,completo,2,21
83,100,completo,4,19003
84,100,completo,1,0
85,100,completo,2,29
86,100,completo,4,18731
87,100,completo,1,0
88,100,completo,2,29
89,100,completo,4,18883
90,200,arbol,1,0
91,200,arbol,2,9
92,200,arbol,4,5865
93,200,arbol,1,0
94,200,arbol,2,4
95,200,arbol,4,10581
96,200,arbol,1,0
97,200,arbol,2,19
98,200,arbol,4,8089
99,200,arbol,1,0
100,200,arbol,2,3
101,200,arbol,4,3249
102,200,arbol,1,0
103,200,arbol,2,4
104,200,arbol,4,9314
105,200,arbol,1,0
106,200,arbol,2,26
107,200,arbol,4,12818
108,200,arbol,1,0
109,200,arbol,2,4
110,200,arbol,4,7673
111,200,arbol,1,0
112,200,arbol,2,5
113,200,arbol,4,10549
114,200,arbol,1,0
115,200,arbol,2,15
116,200,arbol,4,13409
117,200,arbol,1,0
118,200,arbol,2,3
119,200,arbol,4,9962
120,200,ralo,1,0
121,200,ralo,2,29
122,200,ralo,4,34344
123,200,ralo,1,0
124,200,ralo,2,34
125,200,ralo,4,43489
126,200,ralo,1,0
127,200,ralo,2,35
128,200,ralo,4,42955
129,200,ralo,1,0
130,200,ralo,2,35
131,200,ralo,4,38320
132,200,ralo,1,0
133,200,ralo,2,30
134,200,ralo,4,36044
135,200,ralo,1,0
136,200,ralo,2,33
137,200,ralo,4,33349
138,200,ralo,1,0
139,200,ralo,2,34
140,200,ralo,4,32046
141,200,ralo,1,0
142,200,ralo,2,22
143,200,ralo,4,41922
144,200,ralo,1,0
145,200,ralo,2,36
146,200,ralo,4,32358
147,200,ralo,1,0
148,200,ralo,2,39
149,200,ralo,4,42365
150,200,completo,1,0
151,200,completo,2,39
152,200,completo,4,65852
153,200,completo,1,0
154,200,completo,2,24
155,200,completo,4,78063
156,200,completo,1,0
157,200,completo,2,31
158,200,completo,4,98756
159,200,completo,1,0
160,200,completo,2,33
161,200,completo,4,61831
162,200,completo,1,0
163,200,completo,2,36
164,200,completo,4,69187
165,200,completo,1,0
166,200,completo,2,40
167,200,completo,4,71196
168,200,completo,1,0
169,200,completo,2,35
170,200,completo,4,70453
171,200,completo,1,0
172,200,completo,2,34
173,200,completo,4,74663
174,200,completo,1,0
175,200,completo,2,28
176,200,completo,4,290230
177,200,completo,1,0
178,200,completo,2,33
179,200,completo,4,65072
180,300,arbol,1,0
181,300,arbol,2,20
182,300,arbol,4,1
183,300,arbol,1,0
184,300,arbol,2,21
185,300,arbol,4,14835
186,300,arbol,1,0
187,300,arbol,2,22
188,300,arbol,4,25319
189,300,arbol,1,0
190,300,arbol,2,21
191,300,arbol,4,11459
192,300,arbol,1,0
193,300,arbol,2,18
194,300,arbol,4,22704
195,300,arbol,1,0
196,300,arbol,2,6
197,300,arbol,4,9017
198,300,arbol,1,0
199,300,arbol,2,22
200,300,arbol,4,13752
201,300,arbol,1,0
202,300,arbol,2,15
203,300,arbol,4,22314
204,300,arbol,1,0
205,300,arbol,2,17
206,300,arbol,4,19617
207,300,arbol,1,0
208,300,arbol,2,16
209,300,arbol,4,21851
210,300,ralo,1,0
211,300,ralo,2,61
212,300,ralo,4,90386
213,300,ralo,1,0
214,300,ralo,2,56
215,300,ralo,4,119522
216,300,ralo,1,0
217,300,ralo,2,1
218,300,ralo,4,114057
219,300,ralo,1,0
220,300,ralo,2,52
221,300,ralo,4,113023
